Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
Chicago Trading Company,http://www.chicagotrading.com,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,"CTC is a highly analytical, technology driven derivatives trading firm. We partner the industry's most sophisticated models and risk management tools with a team trading philosophy to position ourselves as market leaders in all of our product areas. We are currently recruiting for Trading Assistants, and Software Engineers.",,CO
Chrysler Group LLC,www.chryslergroupllc.com,"Aerospace Engineering, Automotive Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,Midwest,www.chryslercareers.com,2,"Tuesday, September 25th",No,"Chrysler Group LLC is a major automotive company known in the industry for speed, style and innovation. It is an exciting time in our history! Our strategy is to design, build and deliver high-quality products and segment-defining vehicles that will continue to set us apart from the competition. Chrysler Group LLC, formed in 2009 from a global strategic alliance with Fiat Group, produces Chrysler, Jeep®, Dodge, Ram,and Mopar® brand vehicles and products.",X,PC
Cirrus Logic,http://cirrus.com/en/,Electrical Engineering,"Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors",Southwest,http://cirrus.com/en/careers/,1,"Monday, September 24th",Yes,"Cirrus Logic, Inc. is a premier supplier of high-precision analog and digital signal processing components for audio and energy markets. “Why does Cirrus Rock? I get to work with some of the smartest people in the industry, designing – yes, designing! – world class products in an environment that emphasizes creativity. All this, straight out of college. AND... Cirrus hosts Happy Hours EVERY Friday! Tough combo to beat!” — Vishnu R.",,EECS
Cisco Systems,www.cisco.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Industrial Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",Once job is posted a web site will be given to them to apply.,1,"Monday, September 24th",Yes,"Cisco is the worldwide leader in networking that transforms how people connect, communicate, and collaborate. Businesses of all sizes, governments, service providers, and consumers use Cisco hardware, software, and services to improve collaboration, simplify operations, increase customer satisfaction, and improve competitive advantage. Learn more at www.cisco.com.",X,GA
Citadel LLC,www.citadelgroup.com,"Computer Engineering, Electrical Engineering, Engineering Math/Physics, Financial Engineering",Full-time,"PhD, Masters, Bachelors","West Coast, Northeast, Midwest",,1,"Monday, September 24th",Yes,"Established in 1990, Citadel is a leading global financial institution that provides asset management and market making services. With over 1,200 employees globally, Citadel serves a diversified client base through its offices in the world's major financial centers including Chicago, New York, London, Hong Kong, San Francisco and Boston. For more information, please visit www.citadelgroup.com",,GA
"Citrix Systems, Inc.",www.citrix.com,"Computer Engineering, Computer Science",Full-time,"PhD, Masters, Bachelors","West Coast, Southeast",,1,"Tuesday, September 25th",Yes,,,DC
Clarkston Consulting,www.clarkstonconsulting.com,"Biomedical Engineering, Chemical Engineering, Computer Engineering, Computer Science, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Manufacturing Engineering, Mechanical Engineering, Pharmaceutical Engineering",Full-time,Bachelors,"West Coast, Northeast, Southeast",,2,"Tuesday, September 25th",No,"Upon your first contact with Clarkston you'll realize we do things differently than other consulting firms: We serve clients - not customers. We hire leaders and innovators – not employees or staff. At Clarkston you grow your career vertically, horizontally, or create your own original path. Clarkston is a global management and technology consulting firm that provides strategic business solutions for clients within the life sciences and consumer products industries worldwide.",,DC
CME Group,www.cmegroup.com,"Computer Engineering, Computer Science, Engineering Math/Physics, Financial Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate)","Full-time, Summer Internship",Bachelors,Midwest,http://tbe.taleo.net/NA11/ats/careers/jobSearch.jsp?org=CMEGROUP&cws=1,2,"Tuesday, September 25th",Yes,"CME Group: How the World Advances Every day, enterprises and institutions come face to face with risks inherent in an increasingly volatile world. To manage these risks and foster global growth, they need access, efficiency, transparency and security. CME Group answers these needs through products, services and technology that facilitate risk management and remove barriers to help businesses around the globe confidently move forward. CME Group has more than a century of experience helping improve the way markets perform, enterprises do business and economies grow. So we're big enough for your ideas to have an impact in the marketplace, yet small enough for you and your work to be known.",,PC
Cognizant Technology Solutions,www.cognizant.com/campusrecruiting,"Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering",Full-time,Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Monday, September 24th",Yes,"Cognizant Technology Solutions Corp. is an American multinational provider of custom information technology, consulting and business process outsourcing services. It is headquartered in Teaneck, NJ. Cognizant has been named to Fortune magazine's 100 Fastest-Growing Companies list for 9 consecutive years, including 2011 when it was ranked first in the ""All-Stars"" list of 16 companies that appear on the fastest-growing list year after year.",X,DC
"Commonwealth Associates, Inc.",www.cai-engr.com,"Civil Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",Yes,"Commonwealth Associates, Inc. specializes in services related to electric power delivery. We strive to offer the highest level client service by seeking top candidates in the field of Elecrtical, Civil and Mechanical Engineering.",,PC
Compuware Corporation,http://www.compuware.com/careers/,"Computer Engineering, Computer Science","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,http://www.compuware.com/careers/,2,"Monday, September 24th",Yes,"Compuware Corporation, the technology performance company, provides software, experts and best practices to ensure the world's most important technologies work well and deliver value. Compuware customers include 46 of the top 50 Fortune 500 companies and 12 of the top 20 most visited U.S. web sites. The company's ongoing success depends on our employees--a diverse team of people with a set of key, common attributes.",,EECS
"Conestoga, Rovers & Associates, Inc.",www.craworld.com,"Chemical Engineering, Civil Engineering, Environmental Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Tuesday, September 25th",No,"Conestoga-Rovers & Associates (CRA) is dedicated to providing scientific and engineering solutions to environmental challenges. CRA has become a highly successful multi-disciplinary firm with over 90 offices located worldwide and more than 3,000 employees; we offer expertise, a proactive approach to project management and a wide array of services across the environmental spectrum.",,EECS
ConocoPhillips,http://www.conocophillips.com/,"Chemical Engineering, Civil Engineering, Electrical Engineering, Engineering Math/Physics, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters",Southwest,http://www.conocophillips.com/EN/careers/univrecruit/jobsearch/pages/index.aspx,1,"Tuesday, September 25th",Yes,"Conocophillips is the largest independent oil and gas exploration and production company in the US. It employs over 16000 employees worldwide and is headquartered in Houston, Texas.",,BBB
Consumers Energy,http://www.consumersenergy.com/,"Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,Midwest,http://www.consumersenergy.com/,2,"Monday, September 24th",No,There are 6 billion reasons to enrich your career in Michigan. Consumers Energy is investing big in Michigan's energy future with a $6 billion financial commitment over the next five years. Join a diverse and dynamic team that makes and delivers the most valuable services in the world: electricity and natural gas.,,DOW
Continental Automotive Systems,www.Continental-Corporation.com,"Automotive Engineering, Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","Midwest, Southeast",www.Careers-Continental.com,1,"Monday, September 24th",Yes,"As one of the leading automotive suppliers worldwide, Continental is a supplier of brake systems, systems and components for powertrains and chassis, instrumentation, infotainment solutions, vehicle electronics, tires and technical elastomers, and contributes to enhanced driving safety and global climate protection and is an expert partner in networked automobile communication.",,DOW
Cooper Industries,www.cooperindustries.com,"Electrical Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,,2,"Monday, September 24th",No,"Cooper Industries plc (NYSE:CBE) is a diversified global manufacturer of electrical components and tools, with 2011 revenues of $5.4 billion. Founded in 1833, Cooper's sustained success is attributable to a constant focus on innovation and evolving business practices, while maintaining the highest ethical standards and meeting customer needs.",,GA
Cooper Standard,www.cooperstandard.com/,"Automotive Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","Midwest, Southeast",,2,"Tuesday, September 25th",No,"Established in 1960, Cooper Standard is a Tier I global automotive supplier. Our culture of innovation and operational excellence combined with our extensive global footprint provides our customers with innovative solutions in Sealing, Fuel, Brake and Emissions, Thermal Management and Anti-Vibration Systems throughout the world. Headquartered in Novi, Michigan, we employ approximately 22,000 people globally and operate in 19 countries around the world.",,PC
Cooper Tire & Rubber Company,www.coopertire.com,"Chemical Engineering, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Co-Op","PhD, Masters, Bachelors",Midwest,www.coopertire.candidatecare.com,1,"Monday, September 24th",Yes,"Cooper Tire & Rubber Company (Cooper) is the parent company of a global family of companies that specialize in the design, manufacture, marketing, and sales of passenger car and light truck tires. Cooper has joint ventures, affiliates and subsidiaries that also specialize in medium truck, motorcycle and racing tires. Highlights •Headquartered in Findlay, Ohio •Technical Centers in three continents •9th largest global tire manufacturer and 4th largest in the U.S.",X,EECS
Creare Inc.,www.creare.com,"Aerospace Engineering, Biomedical Engineering, Chemical Engineering, Electrical Engineering, Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences",Full-time,"PhD, Masters",Northeast,http://careers.creare.com/careers/Careers.aspx,2,"Monday, September 24th",Yes,"Creare, a leader in cutting-edge R&D since 1961, conducts applied research, develops new technologies, and provides analysis, design, experimental, computational, product, and consulting services to industry and government. Project teams are small and engineer-led, and individuals have significant opportunity to pursue areas of technical interest. At Creare's location in Hanover, NH, we have over 80 active R&D projects with span the following areas: Fluid Mechanics/Heat Transfer, Analog/Digital Electronics, Structures, Cryogenics, Software Development, Signal/Image Processing, Biomedical, Combustion, Applied Mechanics, and Manufacturing Processes.",,DOW
Cummins,http://www.cummins.com/cmi/,"Aerospace Engineering, Automotive Engineering, Chemical Engineering, Computer Engineering, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","Northeast, Midwest, Southeast",http://careers.cummins.com/,1,"Monday, September 24th",Yes,"Cummins Inc., a global power leader, is a corporation of complementary business units that design, manufacture, distribute and service engines and related technologies, including fuel systems, controls, air handling, filtration, emission solutions and electrical power generation systems. Headquartered in Columbus, Indiana, (USA) Cummins employs approximately 44,000 people worldwide and serves customers in approximately 190 countries and territories through a network of more than 600 company-owned and independent distributor locations and approximately 6,500 dealer locations. Cummins earned $1.85 billion on sales of $18.0 billion in 2011. Press releases can be found on the Web at www.cummins.com",,BBB
Cybernet Systems Corporation,www.cybernet.com,"Aerospace Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","Midwest, Southeast",https://ats.navicus.com/careers/jobsearch.aspx?CompanyID=cybernet&currentcompany=1&website=careers&GUID=d74e591e-9108-404c-90d2-3de2b4fa2ade,2,"Tuesday, September 25th",No,"Cybernet Systems Corporation is a solutions company committed to advancing human performance through the application of technology. Cybernet is a leader in American research and development in the medical and defense fields and is one of the country's largest Small Business Innovative Research (SBIR) contract winners. Located in Ann Arbor, MI, Cybernet was founded in 1989 and has completed hundreds of U.S. Department of Defense contracts and is a certified 8(a), woman-owned small business.",,PC
"Cymer, Inc.",www.cymer.com,"Chemical Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,http://www.cymer.com/US_Jobs/,1,"Monday, September 24th",Yes,,,CC
DCS Corp,www.dcscorp.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors","West Coast, Northeast, Southeast",www.dcscorp.com/careers,2,"Tuesday, September 25th",No,"DCS Corp creates innovative technology solutions for our customers and seeks to develop successful working relationships to ensure that we meet our customers' expectations and get the job done right. The value that we place on ensuring customer satisfaction is based on our strong corporate culture of empowerment, innovation, responsiveness, and professional excellence.",,CC
Deloitte Consulting,www.deloitte.com,"Aerospace Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.careers.deloitte.com,2,"Monday, September 24th",Yes,"Deloitte is one of the leading professional services organizations in the United States, specializing in audit, tax, consulting, and financial advisory services with clients in more than 20 industries. We provide powerful business solutions to some of the world's most well-known and respected companies, including more than 75 percent of the Fortune 100.",,CO
DePuy Orthopaedics,www.depuy.com,"Biomedical Engineering, Materials Science and Engineering, Mechanical Engineering",Co-Op,"Masters, Bachelors",Midwest,www.careers.jnj.com,3,"Tuesday, September 25th",Yes,"Founded in 1895, DePuy Orthopaedics was the first commercial orthopaedics company in the U.S. That pioneering spirit is still what drives us today. Our long-standing commitment to innovation in patient care has helped us become a global leader in orthopaedic devices and supplies, including hip, knee, extremity, trauma, cement and operating room products.",,PC
DiverseNote,www.DiverseNote.com,"Biomedical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Northwest,www.DiverseNote.com,2,"Monday, September 24th",Yes,DiverseNote was created to close the employment gap between the nation's top companies and diversity candidates on a career track. DiverseNote is here to assist you in creating a strong professional network and increase your career development. Services that connect you to long term career opportunities that are promising.,,EECS
Domino's Pizza,www.careers.dominos.com,"Computer Engineering, Computer Science, Industrial and Operations Engineering","Full-time, Summer Internship",Bachelors,Midwest,www.careers.dominos.com,2,"Monday, September 24th",Yes,"Founded in 1960, Domino's Pizza is the recognized world leader in pizza delivery. Domino's is listed on the NYSE under the symbol “DPZ.” In May 2011, Pizza Today named Domino's its “Chain of the Year” for the second straight year – making the company a three-time overall winner, and the first pizza delivery company to receive the honor in back-to-back years. In 2011, Domino's was ranked #1 in Forbes Magazine's “Top 20 Franchises for the Money” list.",,GA
Donald C. Cook Nuclear Plant - AEP,http://www.cookinfo.com/,"Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Co-Op",Bachelors,Midwest,,3,"Monday, September 24th",Yes,"The Donald C. Cook Nuclear Plant is a two-unit electrical generating station located on 650 acres along Lake Michigan's eastern shoreline. The station is owned and operated by Indiana Michigan Power (I&M), which is an operating company of American Electric Power (AEP). I&M serves 575,000 customers in Indiana and Michigan. It is headquartered in Fort Wayne, Indiana, and is one of nine operating companies that comprise AEP.",,GA
Dow Chemical,www.dow.com,"Chemical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",www.careersatdow.com,2,"Monday, September 24th",Yes,"Dow combines the power of science and technology with the “Human Element” to passionately innovate what is essential to human progress. The Company connects chemistry and innovation with the principles of sustainability to help address many of the world’s most challenging problems such as the need for clean water, renewable energy generation and conservation, and increasing agricultural productivity. Dow’s diversified industry-leading portfolio of specialty chemical, advanced materials, agrosciences and plastics businesses delivers a broad range of technology-based products and solutions to customers in approximately 160 countries and in high growth sectors such as electronics, water, energy, coatings and agriculture. In 2010, Dow had annual sales of $53.7 billion and employed approximately 50,000 people worldwide. The Company’s more than 5,000 products are manufactured at 188 sites in 35 countries across the globe. Dow values diversity and hires a mix of talented men and women engineers with numerous backgrounds from a variety of science and engineering disciplines.  We look forward to talking to you about the many exciting opportunities available to you within Dow.  We are looking for people who will take risks, explore new ideas, and challenge outdated thinking.  We need people who want to make a difference!",X,DC
Dow Corning Corporation,http://www.dowcorning.com/,"Chemical Engineering, Mechanical Engineering, Materials Science and Engineering, ","Full-time, Summer Internship","Bachelors, PhD",Midwest,,2,"Tuesday, September 25th",Yes,,,DC
DRW Trading Group,www.drw.com,"Aerospace Engineering, Atmospheric, Oceanic, and Space Sciences, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Integrated Microsystems Engineering, Interdisciplinary Engineering (Undergraduate), Interdisciplinary Programs, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering, Nuclear Engineering and Radiological Sciences, Pharmaceutical Engineering",Full-time,"PhD, Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,"DRW Trading Group is a principal trading organization, meaning all of our trading is for our own account, and all of our methods, systems and applications are solely for our own use. Unlike hedge funds, brokerage firms and banks, DRW has no customers, clients or investors. Using internally developed methods, models and technology, we trade across a wide range of asset classes both domestically and internationally. Founded in 1992, our mission is to empower a team of exceptional individuals to identify and capture trading opportunities in the global markets by leveraging and integrating technology, risk management and quantitative research. With that spirit, DRW has embraced the integration of trading and technology and has devoted extensive time, capital and resources to develop fast, precise and reliable infrastructure and applications. Our technology, along with our commitment and creativity, has greatly enhanced our ability to improve and expand our operations, solve complex problems and capture new opportunities. DRW is headquartered in Chicago, and has offices in New York and London, and employs over 400 people worldwide from many different disciplines and backgrounds.",,PC
DTE Energy,www.dteenergy.com/careers,"Chemical Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Co-Op",Bachelors,Northeast,,2,"Monday, September 24th",No,"DTE Energy is a diversified energy company involved in the development and management of energy-related businesses and services nationwide. Our largest operating subsidiaries are Detroit Edison and MichCon. Together, these regulated utility companies provide electric and/or gas services to more than three million residential, business and industrial customers throughout Michigan.",,DC
"Dwyer Instruments, Inc.",www.dwyer-inst.com,"Chemical Engineering, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Monday, September 24th",Yes,"Dwyer Instruments, Inc. was founded in 1931. We are a major player in the control and instrumentation industry covering the HVAC, chemical, food, oil and gas, energy generation and pollution control markets. Our instruments and guages stand for quality, reliability and readily available low cost products, leading to sales of over $100 million.",,PC
Eaton Corporation,www.eaton.com/careers,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering",Full-time,"Masters, Bachelors",Midwest,www.eaton.com/careers,2,"Monday, September 24th",Yes,"Eaton products and solutions are critical to industries and businesses. Our technology delivers the power inside hundreds of products and places – from commercial aircraft and military jets, manufacturing plants and hospitals, airport terminals, data centers and homes to hybrid trucks, cars, theme parks and oil rigs, and even the Panama Canal. We serve customers in more than 150 countries.",,EECS
Echelon Consulting,www.echelon.org,"Computer Engineering, Computer Science, Electrical Engineering",Full-time,"Masters, Bachelors",Northeast,jobs@echelon.org,2,"Tuesday, September 25th",Yes,"Echelon Consulting, L.L.C. delivers technology strategy consulting and custom application development to both local and multinational clients. Our focus is on large-scale, enterprise business solutions, using current mobile and web-based technologies. Our business model is simple: Professionally-managed implementations with attention to quality, timeliness, professionalism, and cost.",,EECS
Elektrobit Automotive Inc.,http://www.elektrobit.com/,"Computer Engineering, Computer Science, Electrical Engineering",Full-time,"Masters, Bachelors",Midwest,http://ebcareersusa.elektrobit.com/,1,"Tuesday, September 25th",No,"EB is at the forefront of the latest development in automotive software, including user interfaces, voice recognition, driver assistance, navigation software, and advanced smartphone connectivity features. The software we are working on is highly relevant as it becomes part of the driver experience and it enables new exciting features, such as AppLink for Ford's SYNC technology.",,BBB
Eli Lilly and Company,http://www.lilly.com,"Chemical Engineering, Electrical Engineering, Industrial and Operations Engineering, Mechanical Engineering, Pharmaceutical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,,2,"Monday, September 24th",No,"Lilly makes medicines that help people live longer, healthier, more active lives. We were founded by Eli Lilly in 1876, and are now the 10th largest pharmaceutical company in the world. We have steadfastly remained independent, but not isolated. Across the globe, Lilly has developed productive alliances and partnerships that advance our capacity to develop innovative medicines at lower costs. Lilly is consistently ranked as one of the best companies in the world to work for, and generations of Lilly employees have sustained a culture that values excellence, integrity and respect for people.",X,DOW
Elmet Holdings,www.elmettechnologies.com,"Aerospace Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,Bachelors,"West Coast, Northeast, Southeast",www.elmettechnologies.com,2,"Tuesday, September 25th",Yes,"As a global supplier of high performance materials including molybdenum, refractory metals, wire products and lighting products, Elmet Technologies serves a wide range of industries, including electronics, medical, lighting, semiconductor, energy, aerospace, automotive and thin film coating.",,DOW
Epic,www.careers.epic.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics",Full-time,"PhD, Masters, Bachelors",Midwest,,1,"Monday, September 24th",No,"As a worldwide leader in the development of software for healthcare organizations, Epic is driving change for an entire industry – one that affects the quality of life for everyone. Our team works with some of the nation's most respected healthcare organizations and collaborates with the best minds in medicine.",,GA
ESG Automotive,www.esg-usa.com,Electrical Engineering,Full-time,"Masters, Bachelors",Midwest,,1,"Tuesday, September 25th",No,"ESG Automotive Inc. is a sound and steadily growing company. As part of the ESG group, it is able to offer committed employees the professional environment of an internationally active company with locations in the USA and Europe. For four decades, the ESG Group has been developing, integrating and selling electronics and IT systems and is regarded as a high-tech company for technology transfer between different markets.",,PC
Etherios,www.etherios.com,"Computer Engineering, Computer Science, Engineering Math/Physics, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","Southwest, Midwest",,2,"Tuesday, September 25th",Yes,"Etherios (www.etherios.com) is a rapidly growing cloud computing consultancy and software development company specializing in salesforce.com and the Force.com platform. We design, develop and deploy simple to highly complex cloud-based implementations, customization and integrations. We seek highly motivated, intellectually curious individuals who are eager to build outstanding careers with like-minded cloud computing professionals.",,EECS
Ethicon Endo-Surgery,www.careers.jnj.com,"Biomedical Engineering, Mechanical Engineering",Co-Op,Bachelors,Midwest,www.careers.jnj.com,2,"Monday, September 24th",No,,,DOW
Expedia,www.expedia.com,"Computer Engineering, Computer Science",Full-time,"Masters, Bachelors","West Coast, Northwest",www.expediajobs.com,1,"Monday, September 24th",No,"Passionate – We are passionate about travel. We are a company of travelers who come to work every day with passion to make travel better. Innovative – We are innovative. We use our collective intelligence to invent technology and create products to simplify and improve travel for our customers and partners. Enterprising – We are enterprising. We relentlessly seek out opportunity. We take risks, act with purpose and always work together to find a way to get the job done.",,BBB
Exponent,www.exponent.com,"Aerospace Engineering, Automotive Engineering, Biomedical Engineering, Chemical Engineering, Civil Engineering, Electrical Engineering, Materials Science and Engineering, Nuclear Engineering and Radiological Sciences",Full-time,"PhD, Masters","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.exponent.com/careers,1,"Monday, September 24th",Yes,"Exponent is a leading engineering and scientific consulting firm. Exponent's engineering practices, formerly known as Failure Analysis Associates, are the leaders in the investigation, analysis, and prevention of accidents and failures. For more than 40 years we have worked on significant disaster and failure investigations and have helped many corporations analyze products that you find in the market today. For over 20 years, our environmental practices have provided scientific solutions to complex environmental problems around the world. Our Health Sciences centers are one of the nation's foremost organizations applying epidemiology, toxicology, and other health sciences expertise to public and corporate health issues. Exponent's multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different disciplines to solve complicated problems facing corporations, insurers, government entities, associations and individuals. Our more than 900 staff members work in over 25 offices across the United States and abroad. Exponent has approximately 600 consultants, including more than 350 that have earned a doctorate in their chosen field of specialization.",,PC
ExxonMobil,http://www.exxonmobil.com,"Atmospheric, Oceanic, and Space Sciences, Chemical Engineering, Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Financial Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors","West Coast, Southwest, Northeast, Midwest",http://www.exxonmobil.com/Corporate/imports/careers/careers.aspx,2,"Tuesday, September 25th",Yes,"ExxonMobil is the world's largest publicly traded international oil and gas company. We hold an industry-leading inventory of global oil and gas resources. We are the world's largest refiner and marketer of petroleum products, and our chemical company ranks among the world's largest. We are also a technology company, applying science and innovation to find better, safer and cleaner ways to deliver the energy the world needs.",X,CC
Facebook,www.facebook.com/careers,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics","Full-time, Summer Internship","PhD, Masters, Bachelors",West Coast,www.facebook.com/careers/university.php,1,"Monday, September 24th",No,"Founded in 2004, Facebook's mission is to make the world more open and connected. People use Facebook to stay connected with friends and family, to discover what's going on in the world, and to share and express what matters to them.",,CC
FactSet Research Systems Inc.,www.factset.com/careers,Computer Engineering,"Full-time, Summer Internship","Masters, Bachelors","Northeast, Midwest",,2,"Monday, September 24th",Yes,"In 2011, FactSet was ranked #64 on FORTUNE's ""100 Best Companies to Work For"" list. FactSet offers instant access to accurate financial data and analytics to thousands of investment professionals around the world. Our company combines hundreds of databases from industry-leading suppliers and clients' own proprietary data into a single, powerful information system, making FactSet a one-stop source for financial information. We're dedicated to staying on the cutting edge of technology by continually developing and refining our own software. FactSet has the growth and opportunity of a start-up with the stability of a well established company. FactSet continues to maintain operations without any debt and has posted earnings per share growth each quarter over the past twelve years. Thanks to our rapid growth, employees are given immediate responsibility and new opportunities for advancement. FactSet's management encourages and rewards entrepreneurial efforts, another factor that contributes to FactSet's success. The environment at FactSet is one of friendly cooperation. Our employee retention rate has historically averaged 90 percent because employees are treated well and opportunities abound. Headquartered in Norwalk, Connecticut and with 23 additional locations around the globe, FactSet employs more than 5,000 people worldwide. FactSet reported $727M in annual revenues for the 2011 fiscal year and is publicly traded on both the New York Stock Exchange and NASDAQ under the symbol “FDS”. FactSet's products and data are used by 45,000+ financial professionals at more than 2,000 firms globally. Learn more about FactSet at www.factset.com or follow us at facebook.com/factset.",X,CO
Federal-Mogul,http://www.federalmogul.com/en,"Automotive Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering",Full-time,,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.federalmogul.com/en/careers,2,"Tuesday, September 25th",No,"Federal-Mogul is a leading global supplier of powertrain and safety technologies designed to improve fuel economy, reduce emissions and enhance vehicle safety. Today, with sales of nearly $7 billion annually, the company serves the world's foremost original equipment manufacturers of automotive, light, medium, and heavy-duty vehicles. Federal-Mogul also serves the needs of the aerospace, marine, rail, power generation and industrial markets.",,PC
